調査年,地域,A1101_総人口【人】,A1301_15歳未満人口【人】,A1303_65歳以上人口【人】,A4101_出生数【人】,A9101_婚姻件数【組】,E2101_小学校数【校】,E3101_中学校数【校】,E4101_高等学校数【校】,F1101_労働力人口【人】,
1980年度,埼玉県 鴻巣市,86854 ,22905 ,6071 ,***,514 ,15 ,5 ,3 ,40803 ,
1980年度,埼玉県 深谷市,120931 ,30445 ,10880 ,***,741 ,19 ,8 ,6 ,60819 ,
1980年度,埼玉県 上尾市,166243 ,49680 ,7061 ,***,983 ,22 ,10 ,4 ,73742 ,
1980年度,埼玉県 草加市,186618 ,52869 ,7687 ,***,1299 ,19 ,9 ,5 ,86698 ,
1980年度,埼玉県 越谷市,223241 ,64984 ,10233 ,***,1302 ,26 ,12 ,5 ,98873 ,
1980年度,埼玉県 蕨市,70876 ,14949 ,4753 ,***,693 ,7 ,4 ,2 ,36586 ,
1980年度,埼玉県 戸田市,78435 ,20261 ,3776 ,***,547 ,11 ,6 ,2 ,39044 ,
1980年度,埼玉県 入間市,104034 ,29650 ,5246 ,***,628 ,12 ,7 ,4 ,45969 ,
1980年度,埼玉県 朝霞市,90088 ,22801 ,3900 ,***,854 ,8 ,5 ,2 ,43534 ,
1980年度,埼玉県 志木市,50925 ,14002 ,2336 ,***,378 ,7 ,4 ,3 ,22798 ,
1980年度,埼玉県 和光市,49713 ,12906 ,2276 ,***,364 ,7 ,3 ,1 ,23174 ,
1980年度,埼玉県 新座市,119309 ,34467 ,5414 ,***,697 ,18 ,6 ,3 ,52416 ,
1980年度,埼玉県 桶川市,55747 ,15597 ,3292 ,***,291 ,7 ,3 ,2 ,25114 ,
1980年度,埼玉県 久喜市,114920 ,32018 ,7559 ,***,725 ,21 ,8 ,5 ,52663 ,
1980年度,埼玉県 北本市,50888 ,15280 ,2445 ,***,336 ,7 ,3 ,1 ,22524 ,
1980年度,埼玉県 八潮市,62734 ,19282 ,2588 ,***,390 ,10 ,5 ,1 ,28982 ,
1980年度,埼玉県 富士見市,79591 ,23457 ,3473 ,***,507 ,11 ,5 ,1 ,35090 ,
1980年度,埼玉県 三郷市,98223 ,31593 ,3680 ,***,633 ,16 ,4 ,2 ,44584 ,
1980年度,埼玉県 蓮田市,45594 ,12301 ,2944 ,***,223 ,6 ,4 ,1 ,20568 ,
1980年度,埼玉県 坂戸市,77335 ,23753 ,3874 ,***,503 ,12 ,6 ,4 ,33037 ,
1980年度,埼玉県 幸手市,49704 ,14781 ,3087 ,***,265 ,11 ,4 ,2 ,21897 ,
1980年度,埼玉県 鶴ヶ島市,35842 ,11281 ,1550 ,***,227 ,6 ,2 ,0 ,15329 ,
1980年度,埼玉県 日高市,43219 ,13484 ,2758 ,***,229 ,6 ,3 ,1 ,19186 ,
1980年度,埼玉県 吉川市,38894 ,11919 ,2126 ,***,197 ,6 ,2 ,1 ,17682 ,
1980年度,埼玉県 ふじみ野市,93467 ,25987 ,4115 ,***,571 ,12 ,5 ,2 ,41647 ,
1980年度,埼玉県 白岡市,31624 ,8631 ,2134 ,***,166 ,5 ,2 ,1 ,14416 ,
